symbol,set_id,strategy,action,entry_price,stop_loss,take_profit,position_size,dollar_risk,exit_price,exit_reason,r_multiple,pnl
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1741.4,1749.548929,1654.9,1.22601809,9.9907,1738.22,MTF_CHOCH_EXIT,0.3902,3.8987
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1738.22,1749.4225,1654.9,0.89531098,10.0297,1749.4225,SL_HIT,-1.0,-10.0297
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1742.51,1759.849643,1654.9,0.57264294,9.9294,1759.849643,SL_HIT,-1.0,-9.9294
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1753.31,1765.174643,1654.9,0.82852302,9.8301,1754.45,MTF_CHOCH_EXIT,-0.0961,-0.9445
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1754.45,1765.11375,1654.9,0.920941,9.8207,1741.8,MTF_CHOCH_EXIT,1.1863,11.6499
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1746.99,1765.47625,1654.9,0.53754459,9.9372,1739.25,MTF_CHOCH_EXIT,0.4187,4.1606
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1739.25,1760.279464,1654.9,0.47451468,9.9788,1748.76,MTF_CHOCH_EXIT,-0.4522,-4.5126
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1748.76,1762.567321,1654.9,0.71944897,9.9337,1743.09,MTF_CHOCH_EXIT,0.4107,4.0793
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1743.09,1762.324107,1654.9,0.5185817,9.9745,1762.324107,SL_HIT,-1.0,-9.9745
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1767.62,1780.545357,1654.9,0.76397978,9.8747,1774.75,MTF_CHOCH_EXIT,-0.5516,-5.4472
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1774.75,1783.124286,1654.9,1.17266595,9.8202,1783.124286,SL_HIT,-1.0,-9.8202
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,BUY,1786.02,1746.48125,2464.91,0.24588631,9.722,1785.93,MTF_CHOCH_EXIT,-0.0023,-0.0221
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,BUY,1785.93,1749.083929,2464.91,0.26384946,9.7218,1785.93,MTF_CHOCH_EXIT,0.0,0.0
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,BUY,1785.93,1771.827679,2464.91,0.689377,9.7218,1861.04,MTF_CHOCH_EXIT,5.3261,51.7791
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,BUY,1861.04,1775.1275,2464.91,0.11918646,10.2396,1873.79,MTF_CHOCH_EXIT,0.1484,1.5196
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,BUY,1882.04,1856.146071,2464.91,0.39603119,10.2548,1881.58,MTF_CHOCH_EXIT,-0.0178,-0.1822
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,BUY,1881.58,1856.069821,2464.91,0.40191728,10.253,1876.49,MTF_CHOCH_EXIT,-0.1995,-2.0458
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,BUY,1876.49,1861.475893,2464.91,0.68152731,10.2325,1879.22,MTF_CHOCH_EXIT,0.1818,1.8606
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,BUY,1879.22,1861.401071,2464.91,0.57529439,10.2511,1927.16,MTF_CHOCH_EXIT,2.6904,27.5796
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,BUY,1923.43,1900.299286,2464.91,0.45510596,10.5269,1914.86,MTF_CHOCH_EXIT,-0.3705,-3.9003
